Algoritmo;Tamaño;Tiempo (segundos)
Bubble Sort;100;0.010637283325195312
Insertion Sort;100;0.0
Merge Sort;100;0.0
Quick Sort;100;0.0
Bubble Sort;500;0.04703664779663086
Insertion Sort;500;0.023266315460205078
Merge Sort;500;0.00504755973815918
Quick Sort;500;0.003006458282470703
Bubble Sort;1000;0.17140436172485352
Insertion Sort;1000;0.08885741233825684
Merge Sort;1000;0.007627010345458984
Quick Sort;1000;0.005846738815307617
Bubble Sort;5000;4.391745328903198
Insertion Sort;5000;2.2633252143859863
Merge Sort;5000;0.04182624816894531
Quick Sort;5000;0.024112462997436523
